BiGG	COG_cat	GO	KEGG	best_OG	eggNOG_Desc	eggNOGs	em_evalue	em_score	kingdom	name	nog_dataset	orf	seed_ortho	tax_scope	contig	taxa	nog_phylum	plot_classification
	B, K			KOG2535|1.51806001202e-93|318.339996338	Elongator complex protein	COG1243@NOG,KOG2535@euNOG	2.2999999999999992e-87	287.6	euk			SAMEA2620979_1389619_1	67593.Physo128237	euNOG[57]	SAMEA2620979_1389619	Eukaryotes		Eukaryotes
	B	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464	K03164	0K6VA|0.0|1169.79980469	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks (By similarity)	00968@acoNOG,01IE0@apiNOG,0K6VA@euNOG,0RDD7@haeNOG,COG0187@NOG,COG0188@NOG,KOG0355@euNOG	3.3999999999999983e-277	912.0	euk			SAMEA2620979_1299418_1	5833.PF14_0316	apiNOG[5]	SAMEA2620979_1299418	Apicomplexa		Eukaryotes
GLUPRT	F		K00764	0KRNN|1.3638679952e-98|326.823822021	glutamine phosphoribosylpyrophosphate amidotransferase	0KRNN@eurNOG,0WQKN@methNOG,COG0034@NOG,arCOG00093@arNOG	1.6999999999999995e-83	273.2	arch	PURF		SAMEA2620979_1214679_21	647113.Metok_0245	arNOG[11]	SAMEA2620979_1214679	Archaea		Archaea
	O	GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944		KOG1552|2.73212048854e-46|161.088775635	Family with sequence similarity 108, member	COG1073@NOG,KOG1552@euNOG	1.3e-32	109.0	euk	FAM108B1		SAMEA2620979_1151402_22	45157.CMD098CT	euNOG[57]	SAMEA2620979_1151402	Eukaryotes		Eukaryotes
	L		K15255	0VDCT|9.4948119635e-41|143.434371948	PIF1 5'-to-3' DNA helicase homolog (S. cerevisiae)	03651@artNOG,0A3IJ@biNOG,0SRGM@inNOG,0VDCT@meNOG,12Q40@opiNOG,COG0507@NOG,KOG0987@euNOG	2.7e-27	87.6	euk			SAMEA2620979_1101247_12	7159.AAEL017186-PA	artNOG[6]	SAMEA2620979_1101247	Arthropoda		Eukaryotes
	O	GO:0000060,GO:0000166,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0000974,GO:0001882,GO:0001883,GO:0002181,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005739,GO:0005773,GO:0005774,GO:0005829,GO:0005844,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006355,GO:0006412,GO:0006457,GO:0006605,GO:0006606,GO:0006612,GO:0006613,GO:0006614,GO:0006616,GO:0006626,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006839,GO:0006886,GO:0006913,GO:0006950,GO:0006996,GO:0007005,GO:0007275,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009266,GO:0009277,GO:0009408,GO:0009628,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0015031,GO:0016020,GO:0016023,GO:0016043,GO:0016462,GO:0016482,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017038,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0019439,GO:0019538,GO:0019637,GO:0019693,GO:0030312,GO:0030529,GO:0030554,GO:0031090,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031410,GO:0031974,GO:0031981,GO:0031982,GO:0031988,GO:0032501,GO:0032502,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033036,GO:0033365,GO:0033554,GO:0034504,GO:0034605,GO:0034613,GO:0034641,GO:0034645,GO:0034655,GO:0035639,GO:0036094,GO:0042026,GO:0042278,GO:0042454,GO:0042470,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043234,GO:0043581,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044267,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044428,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044710,GO:0044744,GO:0044763,GO:0044765,GO:0044767,GO:0045047,GO:0045184,GO:0045892,GO:0045934,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0048523,GO:0048770,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051169,GO:0051170,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051252,GO:0051253,GO:0051641,GO:0051649,GO:0051716,GO:0055085,GO:0055086,GO:0060255,GO:0061077,GO:0065002,GO:0065007,GO:0070013,GO:0070585,GO:0070727,GO:0070972,GO:0071702,GO:0071704,GO:0071806,GO:0071840,GO:0071944,GO:0072521,GO:0072523,GO:0072594,GO:0072599,GO:0072655,GO:0080090,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:2000112,GO:2000113,GO:2001141	K03283	12PIY|0.0|1238.62365723	heat shock	03IP6@ascNOG,0PFQW@fuNOG,12PIY@opiNOG,COG0443@NOG,KOG0101@euNOG	4.099999999999998e-284	938.6	euk	HSP70		SAMEA2620979_1030259_8	402676.XP_002172440.1	fuNOG[21]	SAMEA2620979_1030259	Fungi		Eukaryotes
	S			05CSB|8.96764538409e-83|280.224700928	rhodopsin	05CSB@bactNOG,09A4Z@bctoNOG,0P7YD@flaNOG,11G9N@NOG	2.3999999999999992e-129	421.6	bact		bctoNOG;flaNOG	SAMEA2620970_626409_5	487797.Flav3CDRAFT_0805	bactNOG[38]	SAMEA2620970_626409	Bacteria		Unclassified_Bact
CBPS	F	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0004087,GO:0004088,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005951,GO:0006082,GO:0006139,GO:0006206,GO:0006220,GO:0006221,GO:0006520,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009112,GO:0009117,GO:0009165,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016053,GO:0016597,GO:0016874,GO:0016879,GO:0016884,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0019856,GO:0030554,GO:0031406,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043234,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044711,GO:0046112,GO:0046390,GO:0046394,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:0071944,GO:0072527,GO:0072528,GO:0090407,GO:0097159,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	K01955	05CU6|0.0|1573.30725098	carbamoyl-phosphate synthetase ammonia chain	05CU6@bactNOG,09AFY@bctoNOG,0P7JE@flaNOG,COG0458@NOG	0.0	2009.2	bact	CARB	bctoNOG;flaNOG	SAMEA2620970_486096_144	983544.Lacal_2005	bactNOG[38]	SAMEA2620970_486096	Bacteria		Unclassified_Bact
	O	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006457,GO:0006950,GO:0008150,GO:0008152,GO:0008270,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0016020,GO:0019538,GO:0043167,GO:0043169,GO:0043170,GO:0043335,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0046872,GO:0046914,GO:0050896,GO:0071704,GO:0071944	K04043	0P7ET|0.0|1265.93505859	Acts as a chaperone (By similarity)	05CFG@bactNOG,099PK@bctoNOG,0P7ET@flaNOG,COG0443@NOG	0.0	1264.5	bact	DNAK	flaNOG	SAMEA2620970_14670_3	313598.MED152_12829	bactNOG[38]	SAMEA2620970_14670	Bacteria	Flavobacteriia	diderm
	U	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006184,GO:0006195,GO:0006605,GO:0006612,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009164,GO:0009166,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015031,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019439,GO:0019637,GO:0019693,GO:0030312,GO:0030529,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0040007,GO:0042278,GO:0042454,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0045184,GO:0046039,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0046903,GO:0046907,GO:0048500,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055086,GO:0070727,GO:0071702,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:0097159,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K03106	05CB9|2.54741856612e-213|713.253173828	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY	05CB9@bactNOG,099NM@bctoNOG,0P7TT@flaNOG,COG0541@NOG	7.099999999999997e-218	720.0	bact	FFH	bctoNOG;flaNOG	SAMEA2620970_1224033_3	553177.CAPSP0001_1328	bactNOG[38]	SAMEA2620970_1224033	Bacteria		Unclassified_Bact
	Q	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016119,GO:0016120,GO:0016491,GO:0016627,GO:0036094,GO:0042214,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044710,GO:0046246,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0071704,GO:0071949,GO:0097159,GO:1901265,GO:1901363,GO:1901576	K09835,K10027	05EWK|3.6015150894e-159|534.181884766	phytoene	01RQY@aproNOG,05EWK@bactNOG,16QIR@proNOG,COG1233@NOG	1.4999999999999992e-289	956.0	bact	CRTI	proNOG	SAMEA2620929_631349_6	488538.SAR116_2128	bactNOG[38]	SAMEA2620929_631349	Bacteria	Proteobacteria	diderm
	L	GO:0003674,GO:0003824,GO:0003916,GO:0003918,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006265,GO:0006276,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0008094,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009295,GO:0009340,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022402,GO:0030541,GO:0032991,GO:0034641,GO:0034645,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0043170,GO:0043234,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051276,GO:0055086,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0072521,GO:0072523,GO:0090304,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658	K02470,K02622	0QIIA|3.79804204863e-300|999.5859375	DNA topoisomerase IV, subunit B	05C7D@bactNOG,0QIIA@gproNOG,16PUV@proNOG,COG0187@NOG	9.799999999999994e-257	846.9	bact	PARE	proNOG	SAMEA2620929_562007_9	396588.Tgr7_2123	bactNOG[38]	SAMEA2620929_562007	Bacteria	Proteobacteria	diderm
	S			0J9HH|0.0|1102.37976074		0DBAM@chloroNOG,0J9HH@euNOG,114HE@NOG,1EAD0@virNOG	0.0	1274.7	euk			SAMEA2620929_554346_6	436017.A4S948	virNOG[6]	SAMEA2620929_554346	Viridiplantae		Eukaryotes
	V		K06147,K06148,K11085	0KRPM|1.53216268869e-199|665.688720703	ABC transporter	0KRPM@eurNOG,COG1132@NOG,arCOG02841@arNOG	0.0	1055.9	arch			SAMEA2620929_1889583_3	274854.MG2_0181	arNOG[11]	SAMEA2620929_1889583	Archaea		Archaea
	S			05CSB|2.07830472387e-88|298.699951172	rhodopsin	022QT@aproNOG,05CSB@bactNOG,11G9N@NOG,1782J@proNOG	1.1e-98	321.3	bact		proNOG	SAMEA2620879_18208_4	331869.BAL199_14877	bactNOG[38]	SAMEA2620879_18208	Bacteria	Proteobacteria	diderm
	O			KOG1552|1.58122417806e-43|151.922576904	Family with sequence similarity 108, member	09UI8@biNOG,0EDZM@chrNOG,0V5HI@meNOG,0X9TN@nemNOG,12NSC@opiNOG,18JSC@rhaNOG,COG1073@NOG,KOG1552@euNOG	7.8e-33	109.7	euk			SAMEA2620855_847055_11	135651.CBN08591	nemNOG[3]	SAMEA2620855_847055	Nematodes		Eukaryotes
	F	GO:0000082,GO:0000083,GO:0000166,GO:0000278,GO:0001101,GO:0001501,GO:0001654,GO:0002064,GO:0002065,GO:0002066,GO:0002069,GO:0002070,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004799,GO:0005488,GO:0005515,GO:0005542,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005759,GO:0005829,GO:0005975,GO:0005976,GO:0006082,GO:0006139,GO:0006206,GO:0006213,GO:0006220,GO:0006221,GO:0006231,GO:0006259,GO:0006260,GO:0006281,GO:0006355,GO:0006357,GO:0006520,GO:0006575,GO:0006725,GO:0006732,GO:0006753,GO:0006760,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0007049,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0007423,GO:0007568,GO:0007584,GO:0007623,GO:0008144,GO:0008150,GO:0008152,GO:0008168,GO:0009058,GO:0009059,GO:0009112,GO:0009116,GO:0009117,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009157,GO:0009162,GO:0009163,GO:0009165,GO:0009176,GO:0009177,GO:0009219,GO:0009221,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009605,GO:0009636,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009792,GO:0009888,GO:0009889,GO:0009987,GO:0009991,GO:0010033,GO:0010171,GO:0010243,GO:0010468,GO:0010556,GO:0014070,GO:0016020,GO:0016032,GO:0016597,GO:0016740,GO:0016741,GO:0018130,GO:0019048,GO:0019087,GO:0019088,GO:0019219,GO:0019222,GO:0019438,GO:0019637,GO:0019692,GO:0019752,GO:0019842,GO:0019860,GO:0019866,GO:0020021,GO:0021700,GO:0022008,GO:0022402,GO:0022403,GO:0023052,GO:0030154,GO:0030855,GO:0031090,GO:0031099,GO:0031100,GO:0031323,GO:0031326,GO:0031406,GO:0031667,GO:0031960,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032259,GO:0032501,GO:0032502,GO:0032570,GO:0033189,GO:0033273,GO:0033554,GO:0033993,GO:0034097,GO:0034641,GO:0034645,GO:0034654,GO:0035556,GO:0035821,GO:0036094,GO:0040007,GO:0042083,GO:0042221,GO:0042493,GO:0042558,GO:0042802,GO:0042803,GO:0043010,GO:0043167,GO:0043168,GO:0043170,GO:0043200,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0044003,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044700,GO:0044707,GO:0044710,GO:0044763,GO:0044764,GO:0044767,GO:0044770,GO:0044772,GO:0045471,GO:0046073,GO:0046078,GO:0046134,GO:0046385,GO:0046483,GO:0046653,GO:0046683,GO:0046983,GO:0048015,GO:0048017,GO:0048037,GO:0048468,GO:0048469,GO:0048511,GO:0048513,GO:0048545,GO:0048565,GO:0048589,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051186,GO:0051216,GO:0051252,GO:0051325,GO:0051329,GO:0051384,GO:0051593,GO:0051701,GO:0051704,GO:0051716,GO:0051817,GO:0055086,GO:0055123,GO:0060041,GO:0060255,GO:0060429,GO:0060574,GO:0060575,GO:0060576,GO:0061448,GO:0065007,GO:0065008,GO:0070013,GO:0071704,GO:0072341,GO:0072527,GO:0072528,GO:0080090,GO:0090304,GO:0090407,GO:0097159,GO:0097305,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901654,GO:1901657,GO:1901659,GO:1901698,GO:1901700,GO:2000112,GO:2001141	K00560	KOG0673|7.87922469766e-124|418.887451172	thymidylate synthase	09VD7@biNOG,0V6C6@meNOG,12NX6@opiNOG,COG0207@NOG,KOG0673@euNOG	1.4999999999999997e-86	284.2	euk	TYMS		SAMEA2620828_3030764_3	7668.SPU_006852tr	meNOG[21]	SAMEA2620828_3030764	Animals		Eukaryotes
	L		K05592,K11927	0KRX9|8.91834765982e-153|502.53125	dead deah box helicase domain protein	0KRX9@eurNOG,COG0513@NOG,arCOG00558@arNOG	1.2999999999999993e-179	589.5	arch			SAMEA2620828_2648935_13	274854.MG2_0992	arNOG[11]	SAMEA2620828_2648935	Archaea		Archaea
DXPS	H	GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0006082,GO:0006090,GO:0006629,GO:0006644,GO:0006720,GO:0006725,GO:0006732,GO:0006733,GO:0006743,GO:0006744,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008614,GO:0008615,GO:0008654,GO:0008661,GO:0009058,GO:0009108,GO:0009110,GO:0009228,GO:0009240,GO:0009987,GO:0016740,GO:0016744,GO:0018130,GO:0019288,GO:0019438,GO:0019637,GO:0019682,GO:0019752,GO:0019842,GO:0030145,GO:0030975,GO:0030976,GO:0032787,GO:0034641,GO:0036094,GO:0040007,GO:0042180,GO:0042181,GO:0042364,GO:0042375,GO:0042723,GO:0042724,GO:0042816,GO:0042819,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044711,GO:0045426,GO:0046483,GO:0046490,GO:0046872,GO:0046914,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0071704,GO:0072524,GO:0072525,GO:0072527,GO:0072528,GO:0090407,GO:0097159,GO:1901135,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617,GO:1901661,GO:1901663,GO:1901681	K01662	05C2V|1.63170604707e-281|939.320922852	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)	05C2V@bactNOG,09ADR@bctoNOG,0P7VS@flaNOG,COG1154@NOG	0.0	1047.2	bact	DXS	bctoNOG;flaNOG	SAMEA2620756_77093_48	755732.Fluta_1768	bactNOG[38]	SAMEA2620756_77093	Bacteria		Unclassified_Bact
	H		K05844	0KSD0|8.58500718008e-101|337.932037354	ribosomal protein S6 modification protein	0KSD0@eurNOG,COG0189@NOG,arCOG01589@arNOG	2.0999999999999994e-99	321.9	arch	RIMK		SAMEA2620756_1071958_6	274854.MG2_0056	arNOG[11]	SAMEA2620756_1071958	Archaea		Archaea
	S		K06876	arCOG02839|2.92904042059e-161|538.955810547	photolyase-related protein	0KSQU@eurNOG,COG3046@NOG,arCOG02839@arNOG	9.099999999999996e-206	674.4	arch	PHR4		SAMEA2620734_222131_4	274854.MG2_1590	arNOG[11]	SAMEA2620734_222131	Archaea		Archaea
	U			0773M|4.25550226809e-132|444.23526001	Coagulation factor 5 8 type domain protein	0773M@bactNOG,11G1C@NOG,1DHZX@verNOG,1DMPM@verrNOG	1.1999999999999995e-108	355.2	bact		verNOG;verrNOG	SAMEA2620672_245924_7	320771.Cflav_PD5691	bactNOG[38]	SAMEA2620672_245924	Bacteria		Unclassified_Bact
	L	GO:0003674,GO:0003824,GO:0003904,GO:0003913,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016830,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044763,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360	K01669	05CVP|6.80874291955e-119|401.151947021	deoxyribo-dipyrimidine photolyase	05CVP@bactNOG,COG0415@NOG	1.1999999999999995e-131	435.3	bact	PHR	bactNOG	SAMEA2620672_1088177_1	203124.Tery_4538	bactNOG[38]	SAMEA2620672_1088177	Bacteria	Bacteria	Unclassified_Bact
	L			05F6A|0.0|1076.04748535	helicase	05F6A@bactNOG,0BHX2@bproNOG,0XQUD@NOG,16RXN@proNOG	0.0	1297.9	bact		proNOG	SAMEA2620666_81_73	232721.Ajs_2529	bactNOG[38]	SAMEA2620666_81	Bacteria	Proteobacteria	diderm
	P	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K01995,K01996,K02056,K10441	05C2J|3.52300693659e-181|607.792785645	ABC transporter	05C2J@bactNOG,0QMVP@gproNOG,16PQI@proNOG,COG1129@NOG	3.3e-142	471.9	bact	RBSA	proNOG	SAMEA2620666_7377_2	314277.MED121_10345	bactNOG[38]	SAMEA2620666_7377	Bacteria	Proteobacteria	diderm
	F	GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009987,GO:0019637,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044710,GO:0046483,GO:0055086,GO:0071704,GO:1901360	K01465,K01466	01QQY|2.0563379715e-152|510.864013672	Dihydropyrimidinase	01QQY@aproNOG,05CD3@bactNOG,16PSG@proNOG,COG0044@NOG	3.0999999999999984e-209	688.5	bact	PYRC	proNOG	SAMEA2620666_34680_2	335992.SAR11_0622	bactNOG[38]	SAMEA2620666_34680	Bacteria	Proteobacteria	diderm
	E	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0006508,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704	K01322,K01354	05CUG|1.10307829206e-261|874.277709961	Oligopeptidase b	01QVW@aproNOG,05CUG@bactNOG,16QJP@proNOG,COG1770@NOG	0.0	1514.9	bact	PTRB	proNOG	SAMEA2620666_2911_10	517722.CJLT1_010100000925	bactNOG[38]	SAMEA2620666_2911	Bacteria	Proteobacteria	diderm
	S			05CSB|6.14330250824e-74|251.138656616	rhodopsin	01VFD@aproNOG,05CSB@bactNOG,11G9N@NOG,1782J@proNOG	8.499999999999998e-113	367.7	bact		proNOG	SAMEA2620666_14551_7	439493.PB7211_669	bactNOG[38]	SAMEA2620666_14551	Bacteria	Proteobacteria	diderm
	G	GO:0003674,GO:0003824,GO:0004332,GO:0005488,GO:0005507,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005739,GO:0005740,GO:0005773,GO:0005774,GO:0005829,GO:0005886,GO:0005911,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006091,GO:0006096,GO:0006950,GO:0006970,GO:0008150,GO:0008152,GO:0009056,GO:0009506,GO:0009507,GO:0009536,GO:0009628,GO:0009651,GO:0009987,GO:0010035,GO:0010038,GO:0016020,GO:0016052,GO:0016829,GO:0016830,GO:0016832,GO:0019318,GO:0019320,GO:0030054,GO:0030312,GO:0031090,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0042221,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044429,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0044723,GO:0044724,GO:0046365,GO:0046686,GO:0046872,GO:0046914,GO:0048046,GO:0050896,GO:0055044,GO:0070013,GO:0071704,GO:0071944,GO:0080167,GO:1901575	K01623	KOG1557|7.73200368987e-110|372.021728516	fructose-bisphosphate aldolase	1BEHA@strNOG,1DSF5@virNOG,COG3588@NOG,KOG1557@euNOG	3.7e-78	257.6	euk	OSI_16195		SAMEA2620651_1489435_4	3218.PP1S104_88V6.1	virNOG[6]	SAMEA2620651_1489435	Viridiplantae		Eukaryotes
