#orf	Prob	Evalue	Pvalue	Score	SS	Cols	Query_HMM	Template_HMM	Identity	Similarity	Sum_probs	Template_Neff	subject_header
SAMEA2619840_1979888_69	100.0	5.5E-42	1.1E-46	296.1	0.0	228	7-237	5-233 (235)	58	1.106	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622837_1866954_6	100.0	1.8E-42	3.4E-47	302.5	0.0	232	25-256	2-233 (235)	50	0.995	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623116_2257857_4	100.0	1E-36	1.9E-41	260.4	0.0	209	13-223	5-229 (235)	17	0.202	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2620950_2505_4	100.0	2.1E-43	4E-48	307.5	0.0	231	19-250	2-232 (243)	76	1.306	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2623135_2689174_3	100.0	5.7E-37	1.1E-41	279.4	0.0	220	61-288	2-241 (244)	21	0.320	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621423_38536_4	97.1	3.4E-06	6.5E-11	77.7	0.0	186	174-367	13-201 (258)	10	0.037	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621401_1135227_4	100.0	4.6E-44	8.9E-49	303.2	0.0	228	1-243	1-228 (229)	22	0.289	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2622821_301_9	99.9	4E-33	7.7E-38	239.5	0.0	202	6-227	5-218 (220)	14	0.156	0.0	8.300	5JSI_A Nitrate/nitrite sensor protein NarQ (E.C.2.7.13.3); membrane protein, iodide, UNKNOWN FUNCTION; HET: OLC, LYR, LFA, IOD; 2.0A {Candidatus Actinomarina minuta}
SAMEA2622316_2755353_7	99.9	1.6E-30	3.1E-35	228.8	0.0	200	1-227	8-234 (244)	17	0.217	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621812_1552746_3	99.9	2.4E-32	4.6E-37	237.0	0.0	205	1-225	1-227 (235)	19	0.298	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2623059_2166426_14	97.3	9.5E-07	1.8E-11	80.3	0.0	194	74-274	43-253 (258)	11	0.070	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2623135_1829851_3	95.0	0.0019	3.6E-08	58.3	0.0	142	222-385	75-222 (258)	13	0.133	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620929_1600779_6	100.0	1.9E-41	3.6E-46	292.2	0.0	223	14-245	2-228 (235)	17	0.256	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2619376_4869_1	98.6	3.4E-11	6.6E-16	110.0	0.0	183	109-292	45-235 (258)	13	0.199	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2623627_2510910_3	100.0	1.3E-43	2.5E-48	309.1	0.0	229	7-237	8-259 (273)	46	0.759	0.0	7.700	3DDL_A Xanthorhodopsin; rhodopsin, carotenoid, ion pump, light-harvesting; HET: SXN, UNL, PCW, RET, PX4; 1.9A {Salinibacter ruber}
SAMEA2619376_2008_14	100.0	2.6E-39	5E-44	276.8	0.0	214	2-222	6-239 (244)	21	0.285	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620979_982883_5	99.9	2.7E-32	5.3E-37	238.3	0.0	196	1-217	1-214 (247)	18	0.197	0.0	7.900	2KSY_A Sensory rhodopsin II; membrane proteins, NMR spectroscopy, receptors; HET: RET; NMR {Natronomonas pharaonis}
SAMEA2623059_1154397_4	100.0	5.7E-40	1.1E-44	281.3	0.0	216	10-236	3-224 (229)	22	0.326	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2622716_671626_6	100.0	1.7E-41	3.2E-46	298.3	0.0	229	30-263	2-232 (235)	58	1.041	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622677_716203_5	100.0	6.3E-43	1.2E-47	304.9	0.0	230	25-254	2-231 (235)	57	1.113	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2591084_1427084_6	100.0	1.7E-44	3.3E-49	305.5	0.0	232	1-232	1-232 (235)	64	1.163	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621990_1360130_5	100.0	3.3E-42	6.4E-47	303.0	0.0	229	34-262	4-233 (235)	68	1.152	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620979_21821_8	100.0	1.9E-37	3.6E-42	282.6	0.0	217	2-228	62-287 (333)	24	0.438	0.0	6.400	3UG9_A Archaeal-type opsin 1, Archaeal-type opsin; microbialrhodopsin, seven-transmembrane, light-gated cation channel; HET: RET, OLA; 2.3A {Chlamydomonas reinhardtii}
SAMEA2620980_65050_68	100.0	1.9E-40	3.7E-45	285.8	0.0	223	10-241	3-229 (235)	39	0.763	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620970_626409_5	100.0	9.9E-41	1.9E-45	285.2	0.0	219	15-240	4-227 (229)	21	0.298	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2622822_265222_7	100.0	5.7E-42	1.1E-46	298.9	0.0	227	27-254	4-231 (235)	59	1.131	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620666_6524_6	98.4	3.5E-10	6.7E-15	102.2	0.0	178	84-264	45-235 (258)	12	0.126	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621020_2509357_2	100.0	2E-35	3.9E-40	251.2	0.0	203	5-217	16-241 (244)	21	0.347	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2622657_1176858_4	100.0	4.7E-42	9.1E-47	301.1	0.0	225	31-258	2-229 (235)	20	0.317	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2619531_1154619_39	100.0	1.3E-38	2.5E-43	277.5	0.0	217	7-230	2-238 (244)	18	0.222	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2623116_1479855_4	100.0	9.5E-37	1.8E-41	269.7	0.0	213	1-223	30-272 (291)	16	0.188	0.0	7.200	5B0W_B Halorhodopsin; seven trans-membrane helices, retinylidene protein; HET: RET, L3P, 22B, BNG; 1.7A {Natronomonas pharaonis DSM 2160}
SAMEA2622822_496487_17	100.0	2.3E-42	4.5E-47	294.1	0.0	228	1-234	1-230 (235)	53	0.984	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621812_472993_9	97.5	3.3E-07	6.3E-12	80.6	0.0	150	60-209	75-242 (258)	13	0.117	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619667_1232_25	100.0	1.2E-42	2.4E-47	292.3	0.0	221	1-223	1-226 (235)	15	0.268	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2623275_963018_4	100.0	4.4E-36	8.5E-41	268.1	0.0	201	26-255	14-240 (244)	18	0.291	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2591122_2271310_3	100.0	4.6E-41	8.8E-46	289.1	0.0	220	11-237	2-224 (235)	42	0.819	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621551_1300142_18	100.0	5E-42	9.7E-47	295.1	0.0	227	10-241	1-230 (235)	39	0.792	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623850_3184622_3	100.0	2.8E-41	5.4E-46	307.2	0.0	231	33-270	19-277 (288)	19	0.318	0.0	7.600	4XTN_A KR2; ion pump, membrane protein; HET: LFA, MPG, LYR, NA; 2.2A {Dokdonia eikasta}
SAMEA2623155_1205428_5	100.0	9.3E-44	1.8E-48	302.0	0.0	233	1-233	1-233 (235)	40	0.863	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621487_16548_9	100.0	3.4E-41	6.5E-46	293.8	0.0	221	29-252	4-224 (235)	56	1.058	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619678_663006_9	100.0	4.2E-42	8E-47	291.1	0.0	225	6-230	5-230 (235)	61	1.099	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622173_2542404_6	99.9	5.8E-33	1.1E-37	244.3	0.0	190	7-225	21-236 (244)	16	0.271	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2623919_2489269_6	100.0	3.9E-38	7.5E-43	268.0	0.0	204	7-219	16-241 (244)	24	0.360	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621487_2011339_4	100.0	3.5E-43	6.7E-48	299.4	0.0	228	1-243	1-228 (229)	22	0.290	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2621076_546360_42	100.0	3.9E-41	7.5E-46	288.3	0.0	227	6-241	3-230 (235)	41	0.819	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619399_1091432_33	100.0	4E-43	7.8E-48	302.9	0.0	229	20-248	2-231 (235)	60	1.131	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623116_2402565_6	100.0	1.3E-43	2.6E-48	301.2	0.0	226	2-242	3-228 (229)	18	0.221	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2621277_443545_1	98.3	6E-10	1.2E-14	103.7	0.0	203	242-548	43-250 (258)	14	0.140	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622219_3384338_5	100.0	1.6E-41	3.1E-46	285.2	0.0	212	2-225	14-231 (244)	22	0.317	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2619766_31_105	100.0	7.2E-44	1.4E-48	303.7	0.0	235	1-235	1-235 (235)	60	1.086	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619399_926039_3	98.4	2.7E-10	5.2E-15	106.2	0.0	195	220-472	43-245 (258)	13	0.145	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619766_8261_6	100.0	4E-43	7.6E-48	307.3	0.0	231	29-259	2-232 (235)	53	0.963	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622690_549458_12	100.0	3.7E-42	7.1E-47	298.9	0.0	224	26-249	4-229 (235)	66	1.166	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623116_3701610_5	100.0	3E-39	5.9E-44	278.3	0.0	215	21-240	2-221 (235)	20	0.351	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2622336_1352532_8	98.4	4.7E-10	9.1E-15	104.4	0.0	183	244-495	45-236 (258)	16	0.201	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621204_1359830_5	98.2	2.1E-09	4E-14	96.7	0.0	189	86-281	46-245 (258)	12	0.128	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2623079_4321990_10	100.0	1E-43	2E-48	302.7	0.0	229	4-238	5-235 (235)	50	0.950	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623079_4125639_4	100.0	4.7E-43	9E-48	305.3	0.0	228	25-252	5-232 (235)	67	1.218	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623059_306406_5	100.0	5.6E-45	1.1E-49	321.7	0.0	246	5-253	12-259 (275)	27	0.493	0.0	7.900	5G28_A CHLORIDE PUMPING RHODOPSIN; SIGNALING PROTEIN; HET: RET, OLA; 1.57A {NONLABENS MARINUS S1-08}
SAMEA2619802_13428_3	99.9	2.4E-31	4.6E-36	232.0	0.0	207	3-232	8-231 (235)	22	0.418	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619766_7695_5	100.0	6.3E-44	1.2E-48	302.8	0.0	233	1-236	1-233 (235)	60	1.067	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622149_2236601_6	100.0	1.4E-42	2.7E-47	304.2	0.0	230	29-258	4-233 (235)	59	1.127	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623350_1005562_55	57.1	5.5	0.00011	33.6	0.0	167	67-235	48-237 (258)	15	0.132	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2619376_158_1	100.0	5E-44	9.6E-49	302.6	0.0	227	4-230	3-230 (235)	63	1.105	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619548_2641415_7	100.0	9.4E-43	1.8E-47	303.1	0.0	227	25-251	4-230 (235)	56	1.056	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623627_1069644_18	100.0	3.4E-41	6.6E-46	284.0	0.0	221	5-225	3-230 (235)	47	0.916	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621401_660077_17	100.0	1.3E-44	2.6E-49	305.9	0.0	231	1-231	1-231 (235)	40	0.886	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621044_1260188_5	100.0	2.4E-44	4.6E-49	304.0	0.0	229	1-229	1-230 (235)	67	1.207	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622695_1139363_6	98.4	2.8E-10	5.5E-15	102.7	0.0	205	73-298	45-252 (258)	13	0.101	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621277_1153341_3	98.3	8.4E-10	1.6E-14	101.8	0.0	191	100-323	45-244 (258)	16	0.289	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620756_1071958_21	100.0	7.5E-42	1.5E-46	303.2	0.0	223	34-267	9-240 (244)	17	0.277	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2623446_116969_1	100.0	7.7E-46	1.5E-50	331.2	0.0	248	2-260	19-279 (288)	47	0.816	0.0	7.600	4XTN_A KR2; ion pump, membrane protein; HET: LFA, MPG, LYR, NA; 2.2A {Dokdonia eikasta}
SAMEA2622097_1172778_23	98.4	5.3E-10	1E-14	104.7	0.0	194	232-515	43-245 (258)	14	0.159	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2623734_1198553_2	98.3	9.2E-10	1.8E-14	99.0	0.0	168	71-246	46-237 (258)	14	0.232	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622766_542323_14	98.4	2.4E-10	4.6E-15	103.9	0.0	186	124-319	43-235 (258)	13	0.146	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622759_2659135_48	100.0	1.8E-40	3.4E-45	297.0	0.0	228	45-281	4-232 (235)	54	1.017	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621155_1106243_7	100.0	1.3E-43	2.5E-48	300.1	0.0	225	6-230	5-229 (235)	64	1.173	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619952_2274567_17	98.4	2.6E-10	5E-15	102.3	0.0	192	73-269	46-249 (258)	13	0.197	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2622821_5116_8	16.5	79	0.0015	22.9	0.0	26	122-147	21-46 (71)	23	0.327	0.0	5.400	4ZDT_B Endonuclease Slx1, Slx4; RING finger, Endonuclease, HYDROLASE; HET: GOL; 2.0A {Schizosaccharomyces pombe (strain 972 / ATCC 24843)}
SAMEA2621287_2831940_5	100.0	1.4E-41	2.7E-46	296.6	0.0	228	26-255	4-231 (235)	52	1.040	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619548_82552_6	98.3	9.8E-10	1.9E-14	101.0	0.0	204	101-347	43-249 (258)	10	0.109	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621203_1697849_8	99.9	1.2E-30	2.3E-35	229.9	0.0	205	8-228	14-235 (243)	18	0.352	0.0	7.800	2L6X_A Green-light absorbing proteorhodopsin; proteorhodopsin, membrane protein structure, cell-free; HET: RET; NMR {uncultured marine gamma proteobacterium EBAC31A08}
SAMEA2619766_9449_4	99.9	4.5E-30	8.6E-35	226.0	0.0	192	9-245	4-221 (227)	18	0.238	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2622331_12694_2	98.0	1.6E-08	3E-13	90.9	0.0	172	77-280	43-247 (258)	11	0.086	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2621045_731448_4	100.0	1.5E-41	2.9E-46	292.1	0.0	218	10-240	3-227 (229)	23	0.295	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2619376_682_10	100.0	1.3E-44	2.4E-49	326.9	0.0	259	4-274	11-271 (275)	29	0.466	0.0	7.900	5G28_A CHLORIDE PUMPING RHODOPSIN; SIGNALING PROTEIN; HET: RET, OLA; 1.57A {NONLABENS MARINUS S1-08}
SAMEA2620230_2190611_3	100.0	2.3E-35	4.3E-40	258.2	0.0	201	14-229	7-229 (235)	15	0.182	0.0	8.200	2M3G_C Bacteriorhodopsin; Solid state NMR, Anabaena Sensory; HET: RET; NMR {Nostoc sp. PCC 7120}
SAMEA2591122_191356_15	100.0	1E-42	2E-47	296.6	0.0	228	7-237	5-233 (235)	60	1.119	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620570_2349695_4	100.0	6.2E-43	1.2E-47	294.9	0.0	229	1-229	1-229 (235)	55	0.987	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2620570_898564_4	100.0	5.8E-42	1.1E-46	298.8	0.0	227	23-254	4-232 (235)	58	1.043	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2621203_15401_4	99.9	4.2E-32	8.1E-37	232.1	0.0	202	1-225	1-214 (220)	13	0.222	0.0	8.300	5JSI_A Nitrate/nitrite sensor protein NarQ (E.C.2.7.13.3); membrane protein, iodide, UNKNOWN FUNCTION; HET: OLC, LYR, LFA, IOD; 2.0A {Candidatus Actinomarina minuta}
SAMEA2620979_660003_9	18.4	68	0.0013	22.5	0.0	35	231-265	2-44 (64)	20	0.448	0.0	6.700	2LOV_A Apelin receptor; MEMBRANE PROTEIN; NMR {Homo sapiens}
SAMEA2623734_442078_34	97.0	5.1E-06	9.8E-11	75.8	0.0	163	223-429	75-244 (258)	13	0.136	0.0	8.100	4HYJ_A Rhodopsin; Seven-helical transmembrane protein, Proton pump; HET: LFA, RET; 2.3A {Exiguobacterium sibiricum}
SAMEA2620194_287442_10	100.0	1.2E-33	2.4E-38	244.2	0.0	195	11-227	12-228 (229)	17	0.265	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2591108_499059_6	99.9	1.1E-26	2.2E-31	204.7	0.0	189	11-248	6-221 (227)	21	0.259	0.0	8.200	1S51_A bacteriorhodopsin; membrane protein  bacteriorhodopsin, PROTON; HET: RET; 2.0A {Halobacterium salinarum} SCOP: f.13.1.1
SAMEA2619857_405215_2	100.0	2.1E-41	4E-46	304.9	0.0	223	52-292	3-229 (229)	23	0.306	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2619678_1610908_6	100.0	2.6E-42	5E-47	296.5	0.0	224	19-242	4-229 (235)	64	1.102	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2623850_2043511_9	100.0	1.6E-40	3.1E-45	286.0	0.0	219	10-238	3-224 (235)	45	0.838	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2622765_1488339_1	100.0	2.4E-41	4.6E-46	290.3	0.0	226	6-244	3-229 (235)	43	0.806	0.0	8.300	4JQ6_B Proteorhodopsin; retinylidene protein, ion transport, PROTON; HET: LI1, RET; 2.31A {uncultured bacterium}
SAMEA2619952_2350843_20	100.0	2E-43	3.8E-48	309.6	0.0	240	2-245	21-274 (288)	25	0.420	0.0	7.600	4XTN_A KR2; ion pump, membrane protein; HET: LFA, MPG, LYR, NA; 2.2A {Dokdonia eikasta}
SAMEA2619548_1236059_15	100.0	1.8E-42	3.5E-47	310.2	0.0	222	46-285	2-229 (229)	25	0.331	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
SAMEA2622695_1391709_7	99.9	2.2E-30	4.3E-35	224.9	0.0	173	33-221	42-238 (244)	20	0.341	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2620339_2714839_7	100.0	1.2E-37	2.4E-42	264.7	0.0	207	5-219	14-241 (244)	22	0.365	0.0	8.000	3WT9_A Rhodopsin I; MEMBRANE PROTEIN, RETINAL, WATER CLUSTER; HET: RET, OLC; 1.48A {Acetabularia acetabulum}
SAMEA2621423_1637224_44	100.0	2.5E-40	4.8E-45	282.7	0.0	219	14-240	3-227 (229)	19	0.259	0.0	8.200	3AM6_B rhodopsin-2; seven trans-membrane, Transport Protein; HET: RET, CLR; 3.2A {Acetabularia acetabulum}
